На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
22.01,411.218,26605.84,63200,63100,63000,ЛОБНЯ,Круг Ст45,105мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.05
3.16,2.618,316.78,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,10мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.61,2.476,296.66,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,10мм,НД,ГОСТ 7417-75,1050-2013,Круг
8.31,3.727,291.43,68200,68100,68000,ЛОБНЯ,Круг Ст35,10мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
12.12,3.751,293.36,68200,68100,68000,ЛОБНЯ,Круг Ст20,10мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.08
23.39,449.838,30903.87,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,110мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
7.46,440.140,41412.77,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,110мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.9
10.48,451.330,29201.05,63200,63100,63000,ЛОБНЯ,Круг Ст45,110мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.05
12.00,448.800,34059.43,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст18ХГТ,110мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,6
4.99,458.000,29632.58,63200,63100,63000,ЛОБНЯ,Круг Ст20,110мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.07
16.35,450.000,34150.50,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,110мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
4.36,364.048,39972.47,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,110мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,4.88
8.51,450.584,29152.78,63200,63100,63000,ЛОБНЯ,Круг Ст35,110мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
4.42,451.330,29201.05,63200,63100,63000,ЛОБНЯ,Круг Ст3,110мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.05
4.82,444.089,33701.94,74890,74890,74890,ЕКАТЕРИНБУРГ,Круг ст30ХГСА,110мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.02
0.50,371.749,24052.19,63200,63100,63000,ЛОБНЯ,Круг Ст3,100мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.03
11.63,372.366,28258.86,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,100мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.04
8.27,322.400,35399.52,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,100мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,5.2
12.15,372.366,24092.08,63200,63100,63000,ЛОБНЯ,Круг Ст35,100мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
27.64,372.366,24092.08,63200,63100,63000,ЛОБНЯ,Круг Ст3,100мм,3ГП,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.04
4.75,371.133,28165.28,74890,74890,74890,ЕКАТЕРИНБУРГ,Круг ст30ХГСА,100мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.02
1.61,1.584,204.01,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,08мм,НД,ГОСТ 7417-75,4543-2016,Круг
0.97,1.639,208.18,127000,126890,126890,НОВОСИБИРСК,Круг Ст40х калиброванный,08мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.58,1.697,218.56,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,08мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.50,1.560,199.34,122800,122800,122800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,08мм,НД,ГОСТ 7417-75,1050-2013,Круг
02.06,1.660,212.12,122800,122800,122800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,08мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.33,1.647,202.59,123000,121890,121890,НОВОСИБИРСК,Круг Ст35 калиброванный,08мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.82,1.639,196.38,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,08мм,НД,ГОСТ 7417-75,1050-2013,Круг
6.90,372.982,28678.62,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,100мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.05
0.79,371.749,24052.19,63200,63100,63000,ЛОБНЯ,Круг Ст20,100мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
8.37,407.838,31358.66,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,105мм,,ГОСТ 2590-2006 4543-2016 3ГП,Круг,6
8.24,412.578,26693.79,63200,63100,63000,ЛОБНЯ,Круг Ст20,105мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.07
3.40,371.520,24037.34,63200,63100,63000,ЛОБНЯ,Круг Ст20,105мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,5.4
03.01,347.700,32405.64,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,100мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.7
5.68,354.315,32313.53,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,100мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.75
1.90,283.820,109639.67,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,100,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.6
3.60,207.322,37691.21,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,100 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.38
9.83,411.218,28250.71,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,105мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.05
7.18,411.237,31208.75,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,105мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.05
17.10,373.599,25666.25,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,100мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.06
10.89,372.982,35093.92,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,100мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.05
26.90,372.366,24092.08,63200,63100,63000,ЛОБНЯ,Круг Ст45,100мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
1.15,3.560,458.53,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,12мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.96,3.578,454.38,127000,126890,126890,НОВОСИБИРСК,Круг Ст40х калиброванный,12мм,НД,ГОСТ 7417-75,4543-2016,Круг
2.69,3.604,464.26,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,12мм,НД,ГОСТ 7417-75,4543-2016,Круг
04.07,3.570,427.66,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.75,3.778,389.49,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,12мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,4.25
2.97,3.596,430.85,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.25,3.738,453.05,121200,120890,120890,НОВОСИБИРСК,Круг Ст9ХС,12мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.2
2.60,3.738,456.78,117200,116890,116890,ЧЕЛЯБИНСК,Круг Ст9ХС,12мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.2
4.22,4.258,426.19,95100,94990,94990,ЧЕЛЯБИНСК,Круг СтУ8А,12мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.8
1.71,3.825,1530.00,395000,395000,395000,ЧЕЛЯБИНСК,Круг СтХВГ,12,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.25
2.90,4.592,1023.93,218000,216890,216890,ЧЕЛЯБИНСК,Круг СтШХ15-В,12 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,5.2
8.31,5.346,418.04,68200,68100,68000,ЛОБНЯ,Круг Ст45,12мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.02
1.92,3.552,425.53,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.57,3.525,426.57,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.41,3.925,470.21,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.87,3.596,435.16,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.49,3.552,425.53,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
10.30,5.372,420.12,68200,68100,68000,ЛОБНЯ,Круг Ст20,12мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
4.29,5.363,419.43,68200,68100,68000,ЛОБНЯ,Круг Ст35,12мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.04
3.58,3.561,426.60,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,12мм,НД,ГОСТ 7417-75,1050-2013,Круг
25.97,5.372,404.00,65200,65100,65000,ЛОБНЯ,Круг Ст3,12мм,(6+нд),ГОСТ 2590,Круг,06.05
2.48,3.649,415.26,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,12мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,4.1
9.29,630.410,59126.15,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,130мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.05
22.15,628.326,42851.83,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,130мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
23.35,625.200,47258.87,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,130мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
12.42,628.326,40338.53,63200,63100,63000,ЛОБНЯ,Круг Ст35,130мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
5.00,628.326,40338.53,63200,63100,63000,ЛОБНЯ,Круг Ст35,130мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.03
17.79,627.284,40271.63,63200,63100,63000,ЛОБНЯ,Круг Ст45,130мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.02
13.07,629.368,40405.43,63200,63100,63000,ЛОБНЯ,Круг Ст20,130мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
8.73,630.410,48283.10,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,130мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.05
5.38,630.410,40472.32,63200,63100,63000,ЛОБНЯ,Круг Ст3,130мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.05
9.24,625.200,47258.87,74890,74890,74890,ЕКАТЕРИНБУРГ,Круг ст30ХГСА,130мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
12.92,2777.944,427803.33,154000,154000,154000,ЧЕЛЯБИНСК,Круг ст18ХГТ,350мм,,ТУ14-1-2118-98 4543-2016 3ГП,Круг,3.68
19.97,538.895,34597.03,63200,63100,63000,ЛОБНЯ,Круг Ст20,120мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.07
11.90,537.119,41137.94,75890,75890,75890,ЧЕЛЯБИНСК,Круг ст18ХГТ,120мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,06.05
3.74,537.119,34483.04,63200,63100,63000,ЛОБНЯ,Круг Ст3,120мм,,"ГОСТ2590,535/ТУ14-1-5228-93",Круг,06.05
8.24,490.853,37250.81,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,115мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.02
2.96,339.314,39767.62,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,110мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.56
6.36,328.064,37464.91,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,110мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,4.4
3.68,325.600,30345.92,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,110мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,4.4
3.82,395.168,36039.32,90200,89890,89890,ЧЕЛЯБИНСК,Круг СтУ8А,110мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,5.3
2.37,364.794,140810.48,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,110,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.89
2.89,290.938,52892.62,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,110 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.92
0.14,142.695,9375.06,63200,63100,63000,ЛОБНЯ,Круг Ст45,115мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,1.75
8.23,492.502,31864.85,63200,63100,63000,ЛОБНЯ,Круг Ст45,115мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.04
1.85,310.590,36401.15,117200,116890,116890,НОВОСИБИРСК,Круг Ст9ХС,120мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,3.5
5.63,315.027,35976.08,113200,112890,112890,ЧЕЛЯБИНСК,Круг Ст9ХС,120мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,3.55
3.27,325.600,30345.92,93200,92890,92890,НОВОСИБИРСК,Круг СтУ8А,120мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,3.7
16.82,538.895,34597.03,63200,63100,63000,ЛОБНЯ,Круг Ст45,120мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.07
6.87,566.444,36365.70,63200,63100,63000,ЛОБНЯ,Круг Ст45,125мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,5.88
3.55,435.907,168260.18,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,120,обточка,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,4.8
4.61,307.374,55788.47,180500,179890,179890,ЧЕЛЯБИНСК,Круг СтШХ15-В,120 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.48
0.44,336.000,21739.23,63200,63100,63000,ЛОБНЯ,Круг Ст20,125мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,3.55
0.34,344.001,22256.89,63200,63100,63000,ЛОБНЯ,Круг Ст20,125мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,3.62
12.63,580.870,39615.33,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,125мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
3.68,558.737,35870.93,63200,63100,63000,ЛОБНЯ,Круг Ст45,125мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,5.8
0.16,163.355,10650.76,63200,63100,63000,ЛОБНЯ,Круг Ст35,120мм,3ГП,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,1.84
7.35,532.680,49960.06,93090,92990,92890,ЧЕЛЯБИНСК,Круг Ст38хс,120мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,6
25.16,536.231,40533.72,74890,74890,74890,ЕКАТЕРИНБУРГ,Круг ст30ХГСА,120мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,06.04
13.29,532.680,40265.28,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,120мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,6
7.59,540.000,40818.60,74890,74890,74890,ЧЕЛЯБИНСК,Круг ст30ХГСА,120мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,6
7.00,316.128,34710.85,108800,108800,108800,ЧЕЛЯБИНСК,Круг Ст30ХМА,120мм,,"ГОСТ 2590-2006,4543-2016, 2ГП",Круг,3.56
4.78,537.119,34483.04,63200,63100,63000,ЛОБНЯ,Круг Ст35,120мм,,"ГОСТ2590,1050/ТУ14-1-5228-93",Круг,06.05
4.65,535.343,36510.42,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,120мм,ЗГП,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.03
43.62,536.231,36570.97,67200,67100,67000,ЛОБНЯ,Круг Ст40Х,120мм,,"ГОСТ2590,4543/ТУ14-1-5228-93",Круг,06.04
1.94,9.880,1183.62,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,20мм,НД,ГОСТ 7417-75,1050-2013,Круг
0.97,9.880,1195.48,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,20мм,НД,ГОСТ 7417-75,1050-2013,Круг
48.03,1436.667,109474.03,76200,76100,76000,ЛОБНЯ,Круг Ст20,200мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,5.82
04.01,18.029,2304.11,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,22мм,НД,ГОСТ 7417-75,4543-2016,Круг
1.66,12.069,1484.49,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,22мм,НД,ГОСТ 7417-75,4543-2016,Круг
28.90,17.969,1207.54,60200,60100,60000,ЛОБНЯ,Круг Ст45,22мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.03
3.99,10.003,1198.42,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,20мм,НД,ГОСТ 7417-75,1050-2013,Круг
8.42,14.921,1538.22,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,20мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,5.9
2.26,823.711,76926.35,92890,92890,92890,ЧЕЛЯБИНСК,Круг ст18ХГТ,200мм,,ГОСТ 2590-2006 4543-2016 3ГП,Круг,3.34
1.46,17.880,2285.06,123800,122800,121800,ЧЕЛЯБИНСК,Круг Ст40х калиброванный,22мм,НД,ГОСТ 7417-75,4543-2016,Круг
7.66,1430.396,132869.48,92890,92890,92890,ЧЕЛЯБИНСК,Круг ст18ХГТ,200мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.8
7.74,1414.416,113436.16,80200,80100,80000,ЛОБНЯ,Круг Ст40Х,220мм,,ГОСТ2590-2006,Круг,4.74
1.79,11.950,1431.59,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст35 калиброванный,22мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.62,18.029,1211.55,60200,60100,60000,ЛОБНЯ,Круг Ст35,22мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
3.36,1440.650,109777.56,76200,76100,76000,ЛОБНЯ,Круг Ст3,200мм,,ГОСТ 2590-2006,Круг,5.8
40.82,1420.384,113914.80,80200,80100,80000,ЛОБНЯ,Круг Ст40Х,220мм,3гр,ГОСТ2590-2006,Круг,4.76
3.24,17.910,1257.27,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,22мм.,,"ГОСТ 2590,4543-2016",Круг,06.01
17.93,1414.416,107778.50,76200,76100,76000,ЛОБНЯ,Круг Ст35,220мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,4.74
3.37,11.920,1442.32,121000,119890,119890,НОВОСИБИРСК,Круг Ст35 калиброванный,22мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.98,18.476,2194.95,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст35 калиброванный,22мм,НД,ГОСТ 7417-75,1050-2013,Круг
8.64,18.059,1843.62,98090,97990,97890,ЧЕЛЯБИНСК,Круг Ст38хс,22мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,06.06
8.13,983.400,102657.13,103890,103890,103890,ЧЕЛЯБИНСК,Круг Ст38хс,220мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,3.3
7.50,914.860,95502.24,103890,103890,103890,ЧЕЛЯБИНСК,Круг Ст38хс,220мм,,"ГОСТ 2590-2006, 4543-2016, 2ГП",Круг,03.07
10.00,1832.963,214255.05,116890,116890,116890,ЧЕЛЯБИНСК,Круг ст18ХГТ,230мм,,ГОСТ 2590-2006 4543-2016 2ГП,Круг,5.62
3.52,11.950,1445.93,121000,119890,119890,НОВОСИБИРСК,Круг Ст45 калиброванный,22мм,НД,ГОСТ 7417-75,1050-2013,Круг
2.89,17.880,2124.14,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст45 калиброванный,22мм,НД,ГОСТ 7417-75,1050-2013,Круг
1.93,14.894,1918.36,123800,122800,121800,ЕКАТЕРИНБУРГ,Круг Ст40х калиброванный,20мм,НД,ГОСТ 7417-75,4543-2016,Круг
19.68,1317.614,105672.67,80200,80100,80000,ЛОБНЯ,Круг Ст40Х,190мм,,ГОСТ2590-2006,Круг,5.92
1.21,678.838,70999.72,103890,103890,103890,ЧЕЛЯБИНСК,Круг Ст38хс,190мм,,"ГОСТ 2590-2006, 4543-2016, 3ГП",Круг,03.05
3.14,14.943,1838.05,123000,122890,122890,НОВОСИБИРСК,Круг Ст40х калиброванный,20мм,НД,ГОСТ 7417-75,4543-2016,Круг
8.34,937.500,75843.73,80200,80100,80000,ЛОБНЯ,Круг Ст40Х,190мм,3гр,ГОСТ2590-2006,Круг,4.28
5.22,1402.445,163931.80,116890,116890,116890,ЧЕЛЯБИНСК,Круг ст18ХГТ,230мм,,ГОСТ 2590-2006 4543-2016 3ГП,Круг,4.3
3.49,916.088,87385.63,94890,94890,94890,ЧЕЛЯБИНСК,Круг ст30ХГСА,220мм,,"ГОСТ 2590-2006,4543-2016 3ГП",Круг,03.07
4.20,1423.368,135063.39,94890,94890,94890,ЧЕЛЯБИНСК,Круг ст30ХГСА,220мм,,"ГОСТ 2590-2006,4543-2016 2ГП",Круг,4.77
2.46,944.660,122229.56,128890,128890,128890,ЧЕЛЯБИНСК,Круг Ст30ХМА,220мм,,"ГОСТ 2590-2006,4543-2016, 3ГП",Круг,3.17
19.02,14.993,1097.48,63200,63100,63000,ЛОБНЯ,Круг Ст40Х,20мм.,,"ГОСТ 2590,4543-2016",Круг,06.07
0.38,264.858,20711.92,76200,76100,76000,ЛОБНЯ,Круг Ст45,190мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,1.19
24.72,1302.034,99215.03,76200,76100,76000,ЛОБНЯ,Круг Ст45,190мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.85
1.96,11.920,1428.02,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст45 калиброванный,22мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.70,705.047,131138.80,185500,184890,184890,ЧЕЛЯБИНСК,Круг СтШХ15-В,190 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,3.18
3.39,646.700,249432.19,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,190,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,2.9
3.75,616.000,61661.60,100100,99990,99990,НОВОСИБИРСК,Круг СтУ8А,190мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,2.8
4.51,613.250,78857.82,127890,127890,127890,ЧЕЛЯБИНСК,Круг Ст9ХС,190мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.75
4.31,688.209,90767.92,131890,131890,131890,НОВОСИБИРСК,Круг Ст9ХС,190мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,3.1
22.00,1432.862,109184.10,76200,76100,76000,ЛОБНЯ,Круг Ст45,200мм,3ГП,"ГОСТ2590-2006,1050-2013",Круг,5.81
03.03,737.500,72193.87,97890,97890,97890,НОВОСИБИРСК,Круг СтУ8А,220мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,2.5
6.24,911.880,86984.23,94890,94890,94890,ЧЕЛЯБИНСК,Круг СтУ8А,220мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,03.06
7.51,1710.520,658550.20,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,220,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,5.74
3.41,756.724,72183.93,94890,94890,94890,ЧЕЛЯБИНСК,Круг СтУ8А,200мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,03.07
3.67,658.800,64489.93,97890,97890,97890,НОВОСИБИРСК,Круг СтУ8А,200мм,,"ГОСТ 2590-2006, 1435-99 2ГП",Круг,2.7
5.33,653.198,83994.80,127890,127890,127890,ЧЕЛЯБИНСК,Круг Ст9ХС,200мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.65
4.18,709.891,93627.55,131890,131890,131890,НОВОСИБИРСК,Круг Ст9ХС,200мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.88
4.72,765.860,98413.01,128000,127890,127890,ЧЕЛЯБИНСК,Круг Ст9ХС,220мм,,"ГОСТ 2590-2006, 5950-2000 2ГП",Круг,2.57
53.13,14.943,1034.09,59200,59100,59000,ЛОБНЯ,Круг Ст3,20мм,(6+нд),ГОСТ 2590,Круг,06.05
31.90,1430.396,108996.18,76200,76100,76000,ЛОБНЯ,Круг Ст45,200мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,5.8
14.00,18.083,1215.18,60200,60100,60000,ЛОБНЯ,Круг Ст20,22мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.06
1.45,9.979,1195.46,114800,113800,113800,ЧЕЛЯБИНСК,Круг Ст20 калиброванный,20мм,НД,ГОСТ 7417-75,1050-2013,Круг
20.15,14.943,1049.03,60200,60100,60000,ЛОБНЯ,Круг Ст20,20мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,06.05
1.56,14.820,1775.44,114800,113800,113800,ЕКАТЕРИНБУРГ,Круг Ст20 калиброванный,20мм,НД,ГОСТ 7417-75,1050-2013,Круг
12.64,1423.368,108460.64,76200,76100,76000,ЛОБНЯ,Круг Ст45,220мм,2ГП,"ГОСТ2590-2006,1050-2013",Круг,4.77
0.04,9.905,1198.47,121000,119890,119890,НОВОСИБИРСК,Круг Ст20 калиброванный,20мм,НД,ГОСТ 7417-75,1050-2013,Круг
3.63,631.359,117559.05,185500,184890,184890,ЧЕЛЯБИНСК,Круг СтШХ15-В,200 мм,,"ГОСТ 2590-2006 801-2022, ОГ,В1",Круг,2.57
2.97,666.900,257223.33,385000,385000,385000,ЧЕЛЯБИНСК,Круг СтХВГ,200,,"ГОСТ 2590-06,5950-2000,2ГП,Т/О",Круг,2.7
